agegroup,A5,A6,A7,A8,A9,A11B,A12,A14,E1,D7,D4,D5,D6,trueage,Cluster
7,2,6,3,15,2,1,0,0,0,0,0,1,0,49.03216975,2
7,2,5,3,17,3,1,0,0,1,0,0,0,0,49.03216975,0
7,2,6,3,15,3,1,0,0,0,0,1,0,1,49.08966461,0
7,2,5,3,15,3,1,0,0,0,0,0,0,0,49.43189596,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.74469541,0
7,2,4,3,15,1,1,0,0,0,0,0,0,0,49.28678987,0
7,2,6,3,19,3,1,0,0,0,1,0,1,0,49.06228611,0
7,2,5,3,15,3,1,0,0,0,0,0,0,0,49.43189596,0
7,2,5,4,15,2,1,0,0,0,0,0,0,0,48.96646133,2
7,1,5,1,0,0,1,0,0,0,1,0,1,0,49.31690623,1
7,1,5,3,1,1,1,0,0,0,0,0,1,0,49.31690623,2
7,2,6,3,17,4,1,0,0,0,0,0,0,0,49.37166324,0
7,1,4,1,0,0,2,0,0,0,0,0,0,0,48.84052019,1
7,2,6,3,17,3,1,0,0,0,0,0,0,0,48.83504449,0
7,1,6,3,10,3,1,0,0,0,1,0,1,0,48.98015058,0
7,2,5,3,17,2,1,0,0,0,0,0,0,0,49.48939083,0
7,1,4,1,0,0,2,0,0,0,0,0,0,0,49.01026694,1
7,2,5,3,1,2,1,0,0,0,0,0,0,0,48.76112252,0
7,1,5,1,0,0,1,0,0,0,0,0,1,0,49.47296372,1
7,1,4,3,15,1,1,0,0,0,0,0,0,0,49.03216975,1
7,1,5,3,15,1,1,0,0,0,0,0,0,0,48.82683094,2
7,2,5,1,0,0,1,0,0,0,0,0,0,0,48.75564682,1
7,1,6,1,0,0,2,0,0,1,1,1,1,1,49.02669405,1
7,1,4,1,0,0,1,0,0,0,0,0,0,0,49.07597536,1
7,2,6,3,6,2,1,0,0,0,0,0,1,0,48.7118412,0
7,2,6,3,6,2,1,0,0,0,0,0,1,0,48.7118412,0
7,1,4,1,0,0,2,0,0,0,0,0,0,0,49.0403833,1
7,1,4,3,1,1,1,0,0,1,0,0,0,0,49.0403833,1
7,1,4,3,1,2,1,0,0,0,0,0,1,0,49.24572211,2
7,1,4,1,0,0,2,0,0,0,0,0,0,0,48.90896646,1
7,1,4,1,0,0,2,0,0,0,0,0,0,0,48.68172485,1
7,2,6,3,17,2,2,0,0,0,0,0,0,0,48.88158795,0
7,1,5,1,0,0,2,0,0,0,0,0,1,0,48.5174538,1
7,2,6,3,1,2,1,0,0,0,0,0,1,0,48.77481177,0
7,2,6,3,17,2,1,0,0,0,0,0,0,0,49.08692676,0
7,2,5,3,15,2,1,0,0,0,0,0,1,0,48.89253936,2
7,2,5,3,17,3,1,0,0,0,0,0,1,0,48.76659822,0
7,2,5,2,0,0,1,0,0,0,0,0,1,0,48.76659822,1
7,1,5,3,15,2,1,0,0,0,0,0,0,0,48.95824778,2
7,2,5,2,0,0,1,0,0,0,0,0,0,0,48.76112252,1
7,2,5,1,0,0,1,0,0,0,0,0,0,0,48.67624914,1
7,2,6,3,17,3,1,0,0,0,0,0,1,0,49.15537303,0
7,2,5,2,0,0,1,0,0,0,0,0,0,0,49.18548939,1
7,1,5,3,1,2,1,0,0,0,0,0,0,0,48.82135524,2
7,2,6,1,0,0,1,0,0,0,0,0,0,0,49.30869268,1
7,2,5,2,0,0,1,0,0,0,0,0,1,0,49.0294319,1
7,2,5,3,15,1,1,0,0,0,0,0,0,0,48.50376454,0
7,1,4,1,0,0,2,0,0,0,1,0,0,0,48.60506502,1
7,1,4,3,1,3,2,0,0,0,0,0,0,0,49.25941136,0
7,2,5,3,19,2,1,0,0,0,0,0,0,0,48.90075291,0
7,2,6,3,17,3,1,0,0,0,0,0,0,0,49.02669405,0
7,2,6,3,17,3,1,0,0,0,0,0,0,0,49.02669405,0
7,1,3,1,0,0,1,0,0,0,0,0,0,0,49.229295,1
7,1,5,1,0,0,2,0,0,0,0,0,1,0,48.73374401,1
7,2,5,3,15,2,1,0,0,0,0,0,0,0,49.13620808,2
7,2,7,3,15,3,1,0,0,0,1,1,1,0,48.74743326,0
7,2,4,1,0,0,1,0,0,0,0,0,0,0,49.23203285,1
7,2,6,3,17,3,1,0,0,0,0,0,0,0,48.60506502,0
